127.0.0.1 - - [28/Nov/2024:06:41:02 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:42:03 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 15274
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:42:04 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:43:23 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 15670
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:43:36 +0700] "GET /RestaurantDemoWeb/Login HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:43:47 +0700] "POST /RestaurantDemoWeb/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:43:47 +0700] "GET /RestaurantDemoWeb/Notice HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:45:51 +0700] "GET /RestaurantDemoWeb/Notice HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:45:56 +0700] "POST /RestaurantDemoWeb/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:45:56 +0700] "GET /RestaurantDemoWeb/Notice HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:47:05 +0700] "GET /RestaurantDemoWeb/RestaurantOrder HTTP/1.1" 200 15670
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:47:06 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:47:08 +0700] "GET /RestaurantDemoWeb/Login HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:47:25 +0700] "POST /RestaurantDemoWeb/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:06:47:25 +0700] "GET /RestaurantDemoWeb/Notice HTTP/1.1" 200 666
